MapNo	Lon	Lat	DeltaR	DeltaRErr	Reference	Locality
1709	16.65	57.75	915	50	Lougheed et al. (2013)	West Gotland Basin
1710	17.2667	57.5333	-294	50	Lougheed et al. (2013)	West Gotland Basin
1711	18.25	57.63	568	50	Lougheed et al. (2013)	Gotland Coast
1712	18.83	57.66	338	50	Lougheed et al. (2013)	Gotland Coast
1713	19.7167	57.35	-149	50	Lougheed et al. (2013)	Gotland Deep
1714	20.2333	57.2333	336	50	Lougheed et al. (2013)	Gotland Deep
1715	20.96	56.5	266	50	Lougheed et al. (2013)	Latvian Coast
1716	24.35	57.8667	101	50	Lougheed et al. (2013)	Gulf of Riga
1717	18.9167	59.6667	-339	50	Lougheed et al. (2013)	Stockholm archipelago
1718	19.95	60.1	-243	45	Lougheed et al. (2013)	�land
1719	24.7667	60.1167	-371	50	Lougheed et al. (2013)	South Finnish coast
1720	20.7833	63.4167	-339	50	Lougheed et al. (2013)	South Bothnian Bay
1721	20.8333	63.0667	-334	45	Lougheed et al. (2013)	North Bothnian Sea
1722	-66.6	11.92	-201	23	Guilderson, :2005	Boca de Medio
1723	-65.23	10.9	-143	24	Guilderson, :2005	Isla Tortugas
1724	-63.13	11.38	-146	23	Guilderson, :2005	Los Testigos
1725	-76.2667	-13.9554	-50	40	Etayo, et al: 2013	Paracas, Peru
1755	-78.9662	-8.2373	1	36	Etayo, et al: 2013	Puerto Salaverry,Peru
1765	-81.3264	-4.6449	-18	40	Etayo, et al: 2013	Puerto Pariñas,Peru
1777	-85.6734	30.1362	-153	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1778	-85.6947	30.1107	-154	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1779	-86.4974	30.3841	-198	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1780	-85.7043	30.1463	-93	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1781	-84.6346	29.8383	56	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1782	-86.5503	30.4274	-154	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1783	-85.3651	29.8871	-73	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1784	-86.4974	30.3841	427	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1785	-86.4974	30.3841	517	20	Hadden, Cherkinsky 2015	Northwest coast of Florida
1786	-118.0986	33.7361	17	20	Holmquist, et al, 2015	Anaheim Slough
1787	-118.0986	33.7361	32	15	Holmquist, et al, 2015	Anaheim Slough
1788	-118.0986	33.7361	27	15	Holmquist, et al, 2015	Anaheim Slough
1789	-118.0986	33.7361	207	15	Holmquist, et al, 2015	Anaheim Slough
1790	-118.0986	33.7361	92	15	Holmquist, et al, 2015	Anaheim Slough
1791	-120.8743	35.3829	-98	15	Holmquist, et al, 2015	Morro Bay
1792	-120.8743	35.3829	-73	15	Holmquist, et al, 2015	Morro Bay
1793	-120.8743	35.3829	-103	20	Holmquist, et al, 2015	Morro Bay
1794	-120.8743	35.3829	-128	15	Holmquist, et al, 2015	Morro Bay
1795	-120.8743	35.3829	-73	15	Holmquist, et al, 2015	Morro Bay
1796	-119.0909	34.097	-129	15	Holmquist, et al, 2015	Mugu Lagoon
1797	-119.0909	34.097	-69	20	Holmquist, et al, 2015	Mugu Lagoon
1798	-119.0909	34.097	-89	15	Holmquist, et al, 2015	Mugu Lagoon
1799	-119.0909	34.097	367	15	Holmquist, et al, 2015	Mugu Lagoon
1800	-119.0909	34.097	327	15	Holmquist, et al, 2015	Mugu Lagoon
1801	-117.9058	33.6189	-178	15	Holmquist, et al, 2015	Newport Bay
1802	-117.9058	33.6189	47	20	Holmquist, et al, 2015	Newport Bay
1803	-117.9058	33.6189	162	20	Holmquist, et al, 2015	Newport Bay
1804	-117.9058	33.6189	142	15	Holmquist, et al, 2015	Newport Bay
1805	-117.9058	33.6189	142	15	Holmquist, et al, 2015	Newport Bay
1806	-120.8743	35.3829	52	20	Holmquist, et al, 2015	Morro Bay
1807	-120.8743	35.3829	182	15	Holmquist, et al, 2015	Morro Bay
1808	-120.8743	35.3829	-53	15	Holmquist, et al, 2015	Morro Bay
1809	-120.8743	35.3829	22	15	Holmquist, et al, 2015	Morro Bay
1810	-120.8743	35.3829	2	20	Holmquist, et al, 2015	Morro Bay
1811	-118.0986	33.7361	186	15	Holmquist, et al, 2015	Anaheim Slough
1812	-118.0986	33.7361	50	20	Holmquist, et al, 2015	Anaheim Slough
1813	-118.0986	33.7361	125	15	Holmquist, et al, 2015	Anaheim Slough
1814	-118.0986	33.7361	120	15	Holmquist, et al, 2015	Anaheim Slough
1815	-118.0986	33.7361	125	20	Holmquist, et al, 2015	Anaheim Slough
1816	-119.0909	34.097	256	15	Holmquist, et al, 2015	Mugu Lagoon
1817	-119.0909	34.097	161	15	Holmquist, et al, 2015	Mugu Lagoon
1818	-119.0909	34.097	121	15	Holmquist, et al, 2015	Mugu Lagoon
1819	-119.0909	34.097	211	20	Holmquist, et al, 2015	Mugu Lagoon
1820	-119.0909	34.097	171	15	Holmquist, et al, 2015	Mugu Lagoon
1821	-117.9058	33.6189	127	20	Holmquist, et al, 2015	Newport Bay
1822	-117.9058	33.6189	107	20	Holmquist, et al, 2015	Newport Bay
1823	-117.9058	33.6189	87	20	Holmquist, et al, 2015	Newport Bay
1824	-117.9058	33.6189	137	20	Holmquist, et al, 2015	Newport Bay
1825	-117.9058	33.6189	137	20	Holmquist, et al, 2015	Newport Bay
1826	-52.0333	-32	-117	29	Alves, 2015	Sao Jose do Norte, RS
1827	-42.0167	-22.8667	-40	17	Alves, 2015	Cabo Frio, RJ
1828	-46.3333	-23.95	-110	25	Alves, 2015	Santos, SP
1829	-38.6667	-12.8833	-76	26	Alves, 2015	Ilha de Itaparica, BA
1830	-45.34	-23.73	87	40	Nadal De Mas:1999	Ponta das Canas, Santa Catarina
1831	-45.34	-23.73	117	40	Nadal De Mas:1999	Ponta das Canas, Santa Catarina
1832	-43.05	-22.9333	67	26	Eastoe, CJ, :2002	Jurujuba, Niterói, Rio de Janeiro
1833	168.9833	-34.6333	-158	30	Komugabe, et al, 2014	Tasman Sea
1834	14.2795	45.2947	-67	21	Faivre, et al, 2015	Lovran
1835	15.2236	44.1194	-501	21	Faivre, et al, 2015	Zadararea
1836	14.2822	45.3053	-18	20	Faivre, et al, 2015	Ika
1837	16.4342	43.5003	-223	21	Faivre, et al, 2015	Split
1838	16.29	43.3846	-195	21	Faivre, et al, 2015	Solta
1839	16.4342	43.5003	339	20	Faivre, et al, 2015	Split
1840	16.4417	43.1711	-14	20	Faivre, et al, 2015	Hvar
1841	15.0698	43.9839	-167	21	Faivre, et al, 2015	Dugiotok
1842	16.4417	43.1711	68	21	Faivre, et al, 2015	Hvar
1843	16.4417	43.1711	96	21	Faivre, et al, 2015	Hvar
1844	15.0698	43.9839	71	20	Faivre, et al, 2015	Dugiotok
1845	14.5356	45.3068	-27	20	Faivre, et al, 2015	Bakar
1846	109.3049	12.2139	-143	20	Bolton, et al, 2016	Hon Tre Island
1847	-18	66	-23	45	Scourse et al., 2012	Grimsey, NIS
1848	-18	66	-44	23	Scourse et al., 2012	Grimsey, NIS
1849	4	54	-120	60	Witbaard et al., 1994	Oyster Ground
1850	4	54	-473	74	Witbaard et al., 1994	Oyster Ground
1851	4	54	-263	50	Witbaard et al., 1994	Oyster Ground
1858	-80.5573	24.9429	-166	59	Druffel & Linick 1978	The Rocks, Florida
1859	-80.4158	24.9824	-145	26	Druffel, E.R.M. 1997	Pickles Reef, Florida
1860	-80.5573	24.9429	-137	23	Druffel, E.R.M. 1997	The Rocks, Florida
1861	-80.5573	24.9429	-128	24	Druffel, E.R.M. 1997	The Rocks, Florida
1862	-80.5573	24.9429	-129	21	Druffel, E.R.M. 1997	The Rocks, Florida
1863	-178.333	28.417	-231	22	Andrews, et al, 2016	Kure Atoll
1864	-64.808	32.4514	-264	29	Druffel, et al, 1997	North Rock, Bermuda
1865	-87.7911	16.8231	-157	26	Druffel, 1980	Glover Reef
1866	-91.25	-0.4167	-20	35	Druffel, ERM 1981	Isabela Island
1867	22.1113	-34.1581	-25	30	Wuendsch, et al 2016	Mossel Bay, Western Cape
1868	24.9311	-34.0429	17	30	Wuendsch, et al 2016	Jeffreys Bay, Eastern Cape
1869	129.9957	28.2439	-187	37	Hirabayashi, et al, 2017	SE coast of Kikai Island
1870	124.3443	24.6061	-131	33	Hirabayashi, et al, 2017	NE coast of Ishigaki
1871	124.3443	24.6061	-272	35	Hirabayashi, et al, 2017	NE coast of Ishigaki
1872	124.3443	24.6061	-218	57	Hirabayashi, et al, 2017	NE coast of Ishigaki
1873	124.3443	24.6061	-229	36	Hirabayashi, et al, 2017	NE coast of Ishigaki
1874	124.3443	24.6061	-239	44	Hirabayashi, et al, 2017	NE coast of Ishigaki
1875	124.3443	24.6061	-83	47	Hirabayashi, et al, 2017	NE coast of Ishigaki
1876	124.3443	24.6061	-73	45	Hirabayashi, et al, 2017	NE coast of Ishigaki
1877	124.3443	24.6061	-176	41	Hirabayashi, et al, 2017	NE coast of Ishigaki
1878	124.3443	24.6061	-123	40	Hirabayashi, et al, 2017	NE coast of Ishigaki
1879	134.2887	7.2767	-140	35	Clark et al, 2006	Palau
1881	-83.7172	22.7977	-170	32	Diaz, et al, 2017	Puerto Esperanza
1882	-83.7172	22.7977	-96	33	Diaz, et al, 2017	Ensenada Verracos
1883	-83.5675	22.8547	-95	33	Diaz, et al, 2017	Cayo Levisa
1884	-83.378	22.8838	-128	31	Diaz, et al, 2017	Cayo Alacranes
1885	-83.378	22.8838	-185	30	Diaz, et al, 2017	Ensenada Mulata
1886	-83.1596	22.9799	-103	35	Diaz, et al, 2017	Playa Carenero
1887	-83.1596	22.9799	49	34	Diaz, et al, 2017	Playa Carenero
1888	-82.7655	22.9976	-69	34	Diaz, et al, 2017	Mariel (Bahia)
1889	-82.7655	22.9976	-93	32	Diaz, et al, 2017	Mariel (Bahia)
1890	-82.5719	23.0526	-39	34	Diaz, et al, 2017	Playa Baracoa
1891	-82.5719	23.0526	88	30	Diaz, et al, 2017	Playa Baracoa
1892	-82.473	23.0966	-53	33	Diaz, et al, 2017	Playa Santa
1893	-82.2926	23.1642	-129	81	Diaz, et al, 2017	Cojimar
1894	-81.5501	23.0393	-33	48	Diaz, et al, 2017	Ensenada de la Maya
1895	-81.2659	23.1391	-131	31	Diaz, et al, 2017	Varadero
1896	-81.2659	23.1391	-106	34	Diaz, et al, 2017	Varadero
1897	-79.4449	22.5056	-153	30	Diaz, et al, 2017	Caibarien
1898	-79.4449	22.5056	-136	31	Diaz, et al, 2017	Caibarien
1899	146.8817	-2.0924	-116	13	Petchey and Ulm 2012	Papua New Guinea
1900	150.2325	-2.5535	-44	17	Petchey and Ulm 2012	Papua New Guinea
1901	147.8224	-6.6728	193	14	Petchey and Ulm 2012	Papua New Guinea
1902	144.3384	-1.2661	-96	13	Petchey and Ulm 2012	Papua New Guinea
1903	150.569	-5.4533	-95	19	Petchey and Ulm 2012	Papua New Guinea
1904	144.6858	-4.0245	-112	17	Petchey and Ulm 2012	Papua New Guinea
1905	31.4116	-29.3129	-60	26	Maboya, et al, 2017	Nonoti
1906	26.317	-33.967	49	27	Maboya, et al, 2017	Algoa Bay, off Bird Island
1907	26.9	-33.6	56	26	Maboya, et al, 2017	Port Alfred
1908	27.9254	-33.0093	-21	26	Maboya, et al, 2017	East London
1909	32.8668	-26.9016	-35	29	Maboya, et al, 2017	Kosi Bay
1910	30.7601	-30.287	-38	24	Maboya, et al, 2017	Scottburgh
1911	31.0392	-29.8489	-23	24	Maboya, et al, 2017	Durban
1912	24.9332	-34.0035	64	26	Maboya, et al, 2017	Kabeljouws River
1913	30.4143	-30.8006	-34	25	Maboya, et al, 2017	Shelley Beach, Izotsha
1914	31.24	-29.5045	38	28	Maboya, et al, 2017	Umhlali
1915	29.1556	-31.9825	45	25	Maboya, et al, 2017	Coffee Bay
1916	31.0388	-29.8466	34	28	Maboya, et al, 2017	Durban
1917	29.75	-31.6833	-64	26	Maboya, et al, 2017	Umgazi River Mouth
1918	32.0604	-28.8012	112	26	Maboya, et al, 2017	Richards Bay
1919	-60.8887	14.698	-159	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1920	-60.8887	14.698	-157	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1921	-60.8887	14.698	-186	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1922	-60.8887	14.698	-170	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1923	-60.8887	14.698	-164	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1924	-60.8887	14.698	-163	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1925	-60.8887	14.698	-167	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1926	-60.8887	14.698	-127	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1927	-60.8887	14.698	-141	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1928	-60.8887	14.698	-171	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1929	-60.8887	14.698	-135	30	Paterne, et al, 2017	MARTINIQUE ISLAND
1930	-122.9096	38.1676	-159	25	Panich et al 2018	Tomales Bay
1931	-122.9096	38.1676	-45	27	Panich et al 2018	Tomales Bay
1932	-122.9096	38.1676	4	28	Panich et al 2018	Tomales Bay
1933	-122.9096	38.1676	49	25	Panich et al 2018	Tomales Bay
1934	-122.9096	38.1676	48	23	Panich et al 2018	Tomales Bay
1935	-122.9096	38.1676	-102	29	Panich et al 2018	Tomales Bay
1936	-85.2239	29.6787	195	23	Hadden, Cherkinsky 2017	Indian Pass
1937	-85.2239	29.6787	266	23	Hadden, Cherkinsky 2017	Indian Pass
1938	-84.6014	29.8064	-3	23	Hadden, Cherkinsky 2017	Dog Island
1939	-84.6014	29.8064	-28	24	Hadden, Cherkinsky 2017	Dog Island
1940	-84.3867	29.9091	-79	24	Hadden, Cherkinsky 2017	Alligator Harbor
1941	13.7387	44.9854	-140	22	Perhada, et al 2018	Istrian Peninsula
1942	9.6	44.1667	-143	30	Tisnérat-Laborde, et al, 2013	Liguro-Provençal Basin
1943	9.6	44.1667	-133	30	Tisnérat-Laborde, et al, 2013	Liguro-Provençal Basin
1944	163.6568	-78.2	507	21	Hall et al 2010	McMurdo Ice Shelf
1945	165.1578	-77.8	635	30	Hall et al 2010	McMurdo Ice Shelf
1946	164.2785	-74.8392	751	39	Hall etal 2010	Terra Nova Bay
1947	164.2785	-74.8392	748	42	Hall etal 2010	Terra Nova Bay
1948	68.8333	-49.6667	352	30	Paterne et al. 2019	Kerguelen Islands
1949	69.3667	-49.3667	424	30	Paterne et al. 2019	Kerguelen Islands
1950	69.3667	-49.3667	551	30	Paterne et al. 2019	Kerguelen Islands
1951	175.96	-41.2462	-59	24	Clark et al. 2019	Flat Point, Wairarapa
1952	175.96	-41.2462	-71	24	Clark et al. 2019	Flat Point, Wairarapa
1953	175.96	-41.2462	3	25	Clark et al. 2019	Flat Point, Wairarapa
1954	175.96	-41.2462	-89	24	Clark et al. 2019	Flat Point, Wairarapa
1955	175.96	-41.2462	-122	24	Clark et al. 2019	Flat Point, Wairarapa
1956	176.884	-39.4847	63	24	Clark et al. 2019	Port Ahuriri, Napier
1957	176.884	-39.4847	26	25	Clark et al. 2019	Port Ahuriri, Napier
1958	176.884	-39.4847	-70	24	Clark et al. 2019	Port Ahuriri, Napier
1959	176.884	-39.4847	58	24	Clark et al. 2019	Port Ahuriri, Napier
1960	176.884	-39.4847	82	25	Clark et al. 2019	Port Ahuriri, Napier
1961	178.0115	-38.6708	-32	25	Clark et al. 2019	Gisborne
1962	178.0115	-38.6708	-4	25	Clark et al. 2019	Gisborne
1963	178.4609	-37.8041	-55	25	Clark et al. 2019	Ruatoria
1964	178.4609	-37.8041	-99	25	Clark et al. 2019	Ruatoria
1965	151.1111	-34.0738	-188	15	Dominguez, et al 2016	Port Hacking
1966	151.2486	-33.847	-108	20	Dominguez, et al 2016	Port Jackson
1967	151.2486	-33.847	-122	15	Dominguez, et al 2016	Port Jackson
1968	-82.0894	26.4369	7	22	Hadden, Schwadron 2019	Sanibel Island
1969	-82.0894	26.4369	-13	23	Hadden, Schwadron 2019	Sanibel Island
1970	-82.0894	26.4369	-63	23	Hadden, Schwadron 2019	Sanibel Island
1971	-81.7996	26.0937	-24	24	Hadden, Schwadron 2019	Gordon Pass
1972	-81.7996	26.0937	-64	24	Hadden, Schwadron 2019	Gordon Pass
1973	-81.7996	26.0937	-94	24	Hadden, Schwadron 2019	Gordon Pass
1974	-81.7996	26.0937	-124	24	Hadden, Schwadron 2019	Gordon Pass
1975	-81.7996	26.0937	-124	24	Hadden, Schwadron 2019	Gordon Pass
1976	-81.7996	26.0937	-14	25	Hadden, Schwadron 2019	Gordon Pass
1977	-82.8731	24.6292	247	24	Hadden, Schwadron 2019	Ft. Jefferson
1978	-82.8731	24.6292	457	24	Hadden, Schwadron 2019	Ft. Jefferson
1979	-82.8731	24.6292	247	26	Hadden, Schwadron 2019	Ft. Jefferson
1980	-81.2461	24.676	57	24	Hadden, Schwadron 2019	Ohio Key
1981	-81.2461	24.676	-53	24	Hadden, Schwadron 2019	Ohio Key
1982	-18.1957	66.5265	-156	43	Wanamaker, et al. 2012	Grimsey, North Icelandic shelf
1983	-2.53	56.15	-87	35	Cappelli & Austin 2020	Forth
1984	-2.53	56.15	-108	35	Cappelli & Austin 2020	Forth
1985	-2.53	56.15	-137	35	Cappelli & Austin 2020	Forth
1986	-6.13	58.18	-52	35	Cappelli & Austin 2020	Minch
1987	-6.13	58.18	-156	35	Cappelli & Austin 2020	Minch
1988	-6.46	58.12	-127	35	Cappelli & Austin 2020	Hebrides
1989	-1.51	60.2	-106	37	Cappelli & Austin 2020	Shetland
1990	-1.51	60.2	-94	35	Cappelli & Austin 2020	Shetland
1991	-1.51	60.2	-137	35	Cappelli & Austin 2020	Shetland
1992	-4.09	57.47	-129	35	Cappelli & Austin 2020	Cromarty
1993	-6.46	58.12	-128	35	Cappelli & Austin 2020	Hebrides
1994	-6.29	62.2	-190	35	Cappelli & Austin 2020	Faeroes
1995	-6.29	62.2	-64	35	Cappelli & Austin 2020	Faeroes
1996	-6.29	58.06	-152	35	Cappelli & Austin 2020	Minch
1997	-6.29	62.2	-50	35	Cappelli & Austin 2020	Faeroes
1998	-6.13	58.18	-72	35	Cappelli & Austin 2020	Minch
1999	-6.13	58.18	-98	39	Cappelli & Austin 2020	Minch
2000	-1.51	60.2	-97	35	Cappelli & Austin 2020	Shetland
2001	-2.53	56.15	-140	35	Cappelli & Austin 2020	Forth
2002	-2.53	56.15	-187	35	Cappelli & Austin 2020	Forth
2003	-2.53	56.15	-142	35	Cappelli & Austin 2020	Forth
2004	-2.53	56.15	-157	35	Cappelli & Austin 2020	Forth
2005	-78.8411	-33.6414	-119	30	Merino-Campos et al (2019)	Juan Fern�ndez
2006	-73.8216	-41.8596	37	25	Merino-Campos et al (2019)	Ancud
2007	-73.0619	-36.626	87	25	Merino-Campos et al (2019)	Quiriquina Island
2008	-73.0619	-36.626	72	30	Merino-Campos et al (2019)	Quiriquina Island
2009	-73.8216	-41.8596	2	30	Merino-Campos et al (2019)	Ancud
2010	-72.9936	-36.7364	54	25	Merino-Campos et al (2019)	Penco
2011	-72.9936	-36.7364	4	30	Merino-Campos et al (2019)	Penco
2012	-72.9465	-41.4754	58	30	Merino-Campos et al (2019)	Pto. Montt
2013	-70.9559	-53.6127	-98	20	Merino-Campos et al (2019)	Bulnes Fort, Magallanes
2014	-70.9064	-53.1587	-128	20	Merino-Campos et al (2019)	Punta Arenas
2015	-71.6087	-33.0409	-23	20	Merino-Campos et al (2019)	Valpara�so
2016	-73.8216	-41.8596	-33	30	Merino-Campos et al (2019)	Ancud
2017	-73.1577	-36.7395	24	30	Merino-Campos et al (2019)	Sn. Vicente
2018	-71.3491	-29.9516	-55	25	Carr� et al. (2016)	Coquimbo
2019	-73.4964	-52.1265	-98	20	Merino-Campos et al (2019)	Magallanes Region
2020	-69.5	-54.317	-73	20	Merino-Campos et al (2019)	Seno Almirantazgo
2021	-70.4507	-53.2912	-108	20	Merino-Campos et al (2019)	Punta Chilota
2022	-70.433	-54.433	-73	20	Merino-Campos et al (2019)	Seno Agostini
2023	-73.8216	-41.8596	-53	25	Merino-Campos et al (2019)	Ancud
2024	-73.8216	-41.8596	2	25	Merino-Campos et al (2019)	Ancud
2025	-73.8216	-41.8596	17	25	Merino-Campos et al (2019)	Ancud
2026	-73.8216	-41.8596	-27	25	Merino-Campos et al (2019)	Asasao
2027	-73.7548	-41.9141	-18	25	Merino-Campos et al (2019)	Pudeto River mouth
2028	-71.6087	-33.0409	-23	25	Merino-Campos et al (2019)	Valpara�so
2029	-70.9223	-53.181	-93	25	Merino-Campos et al (2019)	Strait of Magallanes
2030	-73.76	-42.4796	20	25	Merino-Campos et al (2019)	Castro
2031	-73.0619	-36.626	37	25	Merino-Campos et al (2019)	Quiriquina Island
2032	-71.6087	-33.0409	127	20	Merino-Campos et al (2019)	Valpara�so
2033	-72.0432	-34.6418	-53	30	Merino-Campos et al (2019)	Bucalemu
2034	-70.9559	-53.6127	-98	20	Merino-Campos et al (2019)	Bulnes Fort, Magallanes
2035	-73.8216	-41.8596	-78	25	Merino-Campos et al (2019)	Ancud
2036	-73.6477	-42.3812	-68	30	Merino-Campos et al (2019)	Dalcahue
2037	-72.9465	-41.4754	-42	30	Merino-Campos et al (2019)	Pto. Montt
2038	-76.5422	64.2315	21		Dyke et al 2019	Western Hudson Strait & Bay
2039	-76.5422	64.2315	101		Dyke et al 2019	Western Hudson Strait & Bay
2040	-76.5422	64.2315	32		Dyke et al 2019	Western Hudson Strait & Bay
2041	-77.2033	67.8622	82		Dyke et al 2019	Foxe Basin
2042	-77.2033	67.8622	52		Dyke et al 2019	Foxe Basin
2043	-77.2033	67.8622	-8		Dyke et al 2019	Foxe Basin
2044	-71.962	61.5972	42		Dyke et al 2019	Central Hudson Strait
2045	-80.2117	63.7255	12		Dyke et al 2019	Western Hudson Strait & Bay
2046	-80.1682	63.7525	12		Dyke et al 2019	Western Hudson Strait & Bay
2047	-80.1682	63.7525	-18		Dyke et al 2019	Western Hudson Strait & Bay
2048	-80.1682	63.7525	-8		Dyke et al 2019	Western Hudson Strait & Bay
2049	-80.1682	63.7525	-33		Dyke et al 2019	Western Hudson Strait & Bay
2050	-80.1682	63.7525	-18		Dyke et al 2019	Western Hudson Strait & Bay
2051	-80.1682	63.7525	-28		Dyke et al 2019	Western Hudson Strait & Bay
2052	-80.1682	63.7525	22		Dyke et al 2019	Western Hudson Strait & Bay
2053	-80.1682	63.7525	-18		Dyke et al 2019	Western Hudson Strait & Bay
2054	-80.1682	63.7525	17		Dyke et al 2019	Western Hudson Strait & Bay
2055	-80.1682	63.7525	-13		Dyke et al 2019	Western Hudson Strait & Bay
2056	-80.1682	63.7525	-23		Dyke et al 2019	Western Hudson Strait & Bay
2057	-82.2433	62.9882	-13		Dyke et al 2019	Western Hudson Strait & Bay
2058	-71.962	61.5972	37		Dyke et al 2019	Central Hudson Strait
2059	-82.2433	62.9882	-9		Dyke et al 2019	Western Hudson Strait & Bay
2060	-77.3712	63.676	56		Dyke et al 2019	Western Hudson Strait & Bay
2061	-77.3712	63.676	86		Dyke et al 2019	Western Hudson Strait & Bay
2062	-81.019	76.2092	151		Dyke et al 2019	Craig Harbour, Ellesmere Island
2063	-77.3712	63.676	66		Dyke et al 2019	Western Hudson Strait & Bay
2064	-77.3712	63.676	91		Dyke et al 2019	Western Hudson Strait & Bay
2065	-70.595	62.5512	2		Dyke et al 2019	Central Hudson Strait
2068	-37.367	-17.95	-319	26	Oliveira et al. 2019	Abrolhos Archipelago
2069	-38.517	-12.867	-236	26	Oliveira et al. 2019	Todos os Santos Bay
2070	150.0167	-37.7333	-116	35	Komugabe-Dixon et al. 2016	Cape Howe
2071	150.4	-43.9667	-215	40	Komugabe-Dixon et al. 2016	Cascade Plateau
2072	148.55	-41.4167	-103	20	Komugabe-Dixon et al. 2016	St Helens Hill (SH-10)
2073	148.85	-39.6	-73	35	Komugabe-Dixon et al. 2016	Bass Strait
2074	148.55	-41.4167	-270	25	Komugabe-Dixon et al. 2016	St Helens Hill (SH-9)
2075	147.2333	-44.25	-117	40	Komugabe-Dixon et al. 2016	North Sister
2076	93.03	13.65	-290	67	Raj et al. 2020	Landfall Island
2077	93.03	13.65	-340	66	Raj et al. 2020	Landfall Island
2078	93.03	13.65	-282	67	Raj et al. 2020	Landfall Island
2079	93.03	13.65	-157	68	Raj et al. 2020	Landfall Island
2080	93.03	13.65	-268	67	Raj et al. 2020	Landfall Island
2081	93.03	13.65	-293	67	Raj et al. 2020	Landfall Island
2082	-69.7517	43.7142	-78	17	Lower-Spies et al. 2020	Gulf of Maine
2083	166.0079	55.3062	381	30	Khasanov et al. 2020	Commander Islands
2084	166.0079	55.3062	426	30	Khasanov et al. 2020	Commander Islands
2085	166.0079	55.3062	356	30	Khasanov et al. 2020	Commander Islands
2086	144.05	-9.9167	-164	45	Hua et al. 2020	Murray Island
2087	144.05	-9.9167	-129	30	Hua et al. 2020	Murray Island
2088	144.05	-9.9167	-229	30	Hua et al. 2020	Murray Island
2089	-123.8	39.3	147	70	Jones 1992	Mendocino Co.
2090	-121.8	36.8	26	70	Jones 1992	Elkhorn Slough, Monterey Bay, CA
2091	-120.4	35.3	-24	60	Jones 1992	San Luis Obispo Co.
2092	-120.6	34.7	26	75	Jones 1992	Vandenberg AFB, CA
2093	-120.6	34.7	76	75	Jones 1992	Vandenberg AFB, CA
2094	-119.3	34.3	-73	90	Jones 1992	Ventura Co.
2095	-122.9	38.2	25	25	Panich 2018	Tomales Bay, CA
2096	-122.9	38.2	-31	29	Panich 2018	Tomales Bay, CA
2097	-122.9	38.2	8	24	Panich 2018	Tomales Bay, CA
2098	-63.5167	18.5	261	27	DiNapoli et al 2020	Sombrero (off IsleSaint Barthelemy), Ane
2099	-64.2807	18.701	-547	36	DiNapoli et al 2020	1 mi. S. of East Point
2100	-64.2807	18.701	-147	33	DiNapoli et al 2020	1 mi. S. of East Point Falmouth Harbor
2101	-69.9	12.42	-308	26	DiNapoli et al 2020	San Nicolas Bay, 8Miles SW
2102	-75.6748	24.6281	-452	43	DiNapoli et al 2020	Cat Island, Arthurstown
2103	-73.415	21.1292	-232	33	DiNapoli et al 2020	Great Inagua, shore 2 1/2 mi. S. E. of M
2104	-74.9838	23.1012	-237	30	DiNapoli et al 2020	Long Island, Clarence Town
2105	-77.5015	25.0438	-213	37	DiNapoli et al 2020	New Providence, 12 mi West of Nassau, Ol
2106	-59.559	13.1782	-108	22	DiNapoli et al 2020	-
2107	-59.525	13.2143	-43	22	DiNapoli et al 2020	Bathsheba
2108	-59.6344	13.135	-457	28	DiNapoli et al 2020	Lazaretto, 1/2 mile off (sest side)
2109	-59.6122	13.0787	-165	25	DiNapoli et al 2020	Needham Point, off pont (west side)
2110	-81.2491	19.3222	-292	30	DiNapoli et al 2020	Grand Cayman
2111	-80.4541	22.1408	-363	37	DiNapoli et al 2020	Cienfuegos Harbor, just above Pasacaball
2112	-80.4541	22.1408	-66	24	DiNapoli et al 2020	Cienfuegos, Cienfuegos Bay, Punta de los
2113	-81.2285	23.1661	-154	32	DiNapoli et al 2020	Varadero Beach
2114	-75.1193	19.9098	-119	26	DiNapoli et al 2020	Oriente, Guantanamo, Windmill Beach
2115	-69.441	19.1688	-304	28	DiNapoli et al 2020	Dominican Repub.(Samana Bay; NE part of
2116	-69.441	19.1688	-338	31	DiNapoli et al 2020	Dominican Repub.(Samana Bay; NE part of
2117	-72.2285	19.7609	-145	23	DiNapoli et al 2020	Haiti (Cap- Haitien)
